Country,Sex,2012
Algeria,Male,5454
Angola,Male,344
Benin,Male,334
Botswana,Male,56
Burkina Faso,Male,76
Burundi,Male,67
Cabo Verde,Male,76
Cameroon,Male,76
Central African Republic,Male,67
Chad,Male,76
Comoros,Male,76
Congo,Male,44
Cote d'Ivoire,Male,54
Democratic Republic of the Congo,Male,21
Djibouti,Male,34
Egypt,Male,4344
Equatorial Guinea,Male,87
Eritrea,Male,43
Eswatini,Male,30
Ethiopia,Male,43
Gabon,Male,56
Gambia,Male,34
Ghana,Male,434
Guinea,Male,55
Guinea-Bissau,Male,23
Kenya,Male,90
Lesotho,Male,45
Liberia,Male,34
Libya,Male,34
Madagascar,Male,34
Malawi,Male,43
Mali,Male,54
Mauritania,Male,34
Mauritius,Male,25
Mayotte,Male,23
Morocco,Male,577
Mozambique,Male,34
Namibia,Male,45
Niger,Male,301
Nigeria,Male,8787
Reunion,Male,34
Rwanda,Male,566
Saint Helena,Male,6
Sao Tome and Principe,Male,6
Senegal,Male,54
Seychelles,Male,8
Sierra Leone,Male,44
Somalia,Male,8787
South Africa,Male,7677
South Sudan,Male,987
Sudan,Male,876
Togo,Male,54
Tunisia,Male,65
Uganda,Male,566
United Republic of Tanzania,Male,666
Western Sahara,Male,45
Zambia,Male,76
Zimbabwe,Male,56
