Country,Sex,2017,"2017,"
Algeria,Female,3534,"3534,"
Algeria,Male,5434,"5434,"
Angola,Female,345,"345,"
Angola,Male,645,"645,"
Benin,Female,564,"564,"
Benin,Male,543,"543,"
Botswana,Female,64,"64,"
Botswana,Male,85,"85,"
Burkina Faso,Female,34,"34,"
Burkina Faso,Male,76,"76,"
Burundi,Female,47,"47,"
Burundi,Male,64,"64,"
Cabo Verde,Female,64,"64,"
Cabo Verde,Male,65,"65,"
Cameroon,Female,45,"45,"
Cameroon,Male,86,"86,"
Central African Republic,Female,46,"46,"
Central African Republic,Male,97,"97,"
Chad,Female,38,"38,"
Chad,Male,76,"76,"
Comoros,Female,34,"34,"
Comoros,Male,85,"85,"
Congo,Female,67,"67,"
Congo,Male,134,"134,"
Cote d'Ivoire,Female,46,"46,"
Cote d'Ivoire,Male,87,"87,"
Democratic Republic of the Congo,Female,66,"66,"
Democratic Republic of the Congo,Male,46,"46,"
Djibouti,Female,93,"93,"
Djibouti,Male,87,"87,"
Egypt,Female,4556,"4556,"
Egypt,Male,9456,"9456,"
Equatorial Guinea,Female,35,"35,"
Equatorial Guinea,Male,75,"75,"
Eritrea,Female,45,"45,"
Eritrea,Male,64,"64,"
Eswatini,Female,46,"46,"
Eswatini,Male,74,"74,"
Ethiopia,Female,75,"75,"
Ethiopia,Male,85,"85,"
Gabon,Female,34,"34,"
Gabon,Male,85,"85,"
Gambia,Female,75,"75,"
Gambia,Male,86,"86,"
Ghana,Female,132,"132,"
Ghana,Male,243,"243,"
Guinea,Female,32,"32,"
Guinea,Male,53,"53,"
Guinea-Bissau,Female,23,"23,"
Guinea-Bissau,Male,54,"54,"
Kenya,Female,35,"35,"
Kenya,Male,53,"53,"
Lesotho,Female,35,"35,"
Lesotho,Male,54,"54,"
Liberia,Female,35,"35,"
Liberia,Male,43,"43,"
Libya,Female,343,"343,"
Libya,Male,455,"455,"
Madagascar,Female,65,"65,"
Madagascar,Male,54,"54,"
Malawi,Female,43,"43,"
Malawi,Male,45,"45,"
Mali,Female,54,"54,"
Mali,Male,65,"65,"
Mauritania,Female,46,"46,"
Mauritania,Male,65,"65,"
Mauritius,Female,64,"64,"
Mauritius,Male,65,"65,"
Mayotte,Female,35,"35,"
Mayotte,Male,65,"65,"
Morocco,Female,465,"465,"
Morocco,Male,654,"654,"
Mozambique,Female,54,"54,"
Mozambique,Male,65,"65,"
Namibia,Female,46,"46,"
Namibia,Male,76,"76,"
Niger,Female,564,"564,"
Niger,Male,765,"765,"
Nigeria,Female,6544,"6544,"
Nigeria,Male,7654,"7654,"
Reunion,Female,32,"32,"
Reunion,Male,34,"34,"
Rwanda,Female,566,"566,"
Rwanda,Male,654,"654,"
Saint Helena,Female,4,"4,"
Saint Helena,Male,6,"6,"
Sao Tome and Principe,Female,7,"7,"
Sao Tome and Principe,Male,5,"5,"
Senegal,Female,35,"35,"
Senegal,Male,63,"63,"
Seychelles,Female,4,"4,"
Seychelles,Male,6,"6,"
Sierra Leone,Female,43,"43,"
Sierra Leone,Male,46,"46,"
Somalia,Female,6532,"6532,"
Somalia,Male,6433,"6433,"
South Africa,Female,4564,"4564,"
South Africa,Male,5775,"5775,"
South Sudan,Female,456,"456,"
South Sudan,Male,654,"654,"
Sudan,Female,786,"786,"
Sudan,Male,654,"654,"
Togo,Female,65,"65,"
Togo,Male,75,"75,"
Tunisia,Female,68,"68,"
Tunisia,Male,65,"65,"
Uganda,Female,46,"46,"
Uganda,Male,56,"56,"
United Republic of Tanzania,Female,577,"577,"
United Republic of Tanzania,Male,876,"876,"
Western Sahara,Female,65,"65,"
Western Sahara,Male,67,"67,"
Zambia,Female,64,"64,"
Zambia,Male,64,"64,"
Zimbabwe,Female,65,"65,"
Zimbabwe,Male,57,"57,"
